x y z std sst
-58.20 42.22 13.99  3.52 1
-58.20 42.22 13.19  3.16 1
-93.23 48.88 32.70  4.00 0
-92.14 49.77 14.75  3.10 0
-92.14 49.77 15.25  4.00 0
-92.14 49.77 15.15  3.30 0
-92.14 49.77 16.05  3.30 0
-92.14 49.77 14.15  2.65 0
-92.14 49.77 20.85  4.00 0
-92.14 49.77 12.85  2.50 0
-168.97 -65.56 31.93  3.37 1
-9.73 46.29 11.43  2.84 1
-9.73 46.29 11.43  2.84 1
-9.73 46.29 18.00  2.64 1
-8.98 -27.19  7.05  3.25 1
124.00 75.82 30.62  3.05 0
 7.27 55.99 18.95  2.50 0
-73.14 35.76 12.31  2.50 0
69.64 82.74 33.90  2.50 0
-107.39 43.24  8.71  2.50 1
-158.08 -56.84 19.38  2.50 0
-58.29 41.80 13.45  3.19 1
-167.63 19.59  6.28  3.47 1
-148.24  4.66  2.92  3.34 1
-160.71 -58.19 15.25  4.07 0
-160.71 -58.19 16.65  3.45 0
-160.71 -58.19 19.05  2.50 0
 9.41 54.52 16.22  2.50 0
31.85 -17.27  7.02  5.64 1
-107.12 42.96  9.52  2.50 1
-58.01 42.23 14.90  2.50 1
